id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
371	MELANIN	C18H10N2O4		Methano/water	IROA	MSMLS_2D9					6325610															
375	CYTIDINE 5'-DIPHOSPHOCHOLINE	C14H26N4O11P2		Methano/water	IROA	MSMLS_2E1					13804															
384	PICOLINIC ACID	C6H5NO2		Methano/water	IROA	MSMLS_2E10					1018															
385	ETHANOLAMINE	C2H7NO		Methano/water	IROA	MSMLS_2E11					700															
386	L-ARGININE	C6H14N4O2		Methano/water	IROA	MSMLS_2E12					6322															
376	1,3-DIAMINOPROPANE	C3H10N2		Methano/water	IROA	MSMLS_2E2					428															
377	O-PHOSPHO-L-SERINE	C3H8NO6P		Methano/water	IROA	MSMLS_2E3					68841															
378	1-AMINOCYCLOPROPANE-1-CARBOXYLATE	C4H7NO2		Methano/water	IROA	MSMLS_2E4					535															
379	5-HYDROXYMETHYLURACIL	C5H6N2O3		Methano/water	IROA	MSMLS_2E5					78168															
380	L-CYSTATHIONINE	C7H14N2O4S		Methano/water	IROA	MSMLS_2E6					439258															
